plant_name,cell_fname,leaf_id,leaf_orientation,group
Ceratostigma_minus,3-07-400x-1-01,3.7,abaxial,1
Ceratostigma_minus,3-07-400x-1-02,3.7,abaxial,1
Ceratostigma_minus,3-07-400x-1-03,3.7,abaxial,1
Ceratostigma_minus,3-07-400x-1-04,3.7,abaxial,1
Ceratostigma_minus,3-07-400x-2-01,3.7,adaxial,1
Ceratostigma_minus,3-07-400x-2-03,3.7,adaxial,1
Ceratostigma_minus,3-07-400x-2-04,3.7,adaxial,1
Rosa_mollis,3-15-700x-1-01,3.15,adaxial,2
Rosa_mollis,3-15-700x-1-02,3.15,adaxial,2
Rosa_mollis,3-15-700x-1-04,3.15,adaxial,2
Rosa_mollis,3-15-700x-1-05,3.15,adaxial,2
Persicaria_virginiana,4-01-700x-2-01,4.1,adaxial,2
Persicaria_virginiana,4-01-700x-2-02,4.1,adaxial,2
Persicaria_virginiana,4-01-700x-2-03,4.1,adaxial,2
Persicaria_virginiana,4-01-700x-2-04,4.1,adaxial,2
Persicaria_virginiana,4-01-700x-2-05,4.1,adaxial,2
Persicaria_virginiana,4-01-700x-2-06,4.1,adaxial,2
Polygonum_chinense,4-02-700x-1-01,4.2,abaxial,2
Polygonum_chinense,4-02-700x-1-02,4.2,abaxial,2
Polygonum_chinense,4-02-700x-1-03,4.2,abaxial,2
Polygonum_chinense,4-02-700x-1-04,4.2,abaxial,2
Polygonum_chinense,4-02-700x-1-05,4.2,abaxial,2
Polygonum_chinense,4-02-700x-2-01,4.2,adaxial,2
Polygonum_chinense,4-02-700x-2-02,4.2,adaxial,2
Polygonum_chinense,4-02-700x-2-03,4.2,adaxial,2
Polygonum_chinense,4-02-700x-2-04,4.2,adaxial,2
Polygonum_chinense,4-02-700x-2-05,4.2,adaxial,2
Paeonia_tenuifolia,4-15-400x-2-01,4.15,adaxial,3
Paeonia_tenuifolia,4-15-400x-2-02,4.15,adaxial,3
Paeonia_tenuifolia,4-15-400x-2-03,4.15,adaxial,3
Paeonia_tenuifolia,4-15-400x-2-04,4.15,adaxial,3
Aconitum_carmichaelii,4-17-400x-2-01,4.17,adaxial,3
Aconitum_carmichaelii,4-17-400x-2-02,4.17,adaxial,3
Aconitum_carmichaelii,4-17-400x-2-03,4.17,adaxial,3
Succisella_inflexa,5-20-700x-2-01,5.2,adaxial,4
Succisella_inflexa,5-20-700x-2-02,5.2,adaxial,4
Succisella_inflexa,5-20-700x-2-03,5.2,adaxial,4
Succisella_inflexa,5-20-700x-2-04,5.2,adaxial,4
Succisella_inflexa,5-20-700x-2-06,5.2,adaxial,4
Beta_vulgaris,5-22-400x-1-01,5.22,adaxial,2
Beta_vulgaris,5-22-400x-1-02,5.22,adaxial,2
Beta_vulgaris,5-22-400x-1-03,5.22,adaxial,2
Beta_vulgaris,5-22-400x-1-04,5.22,adaxial,2
Beta_vulgaris,5-22-400x-1-05,5.22,adaxial,2
Beta_vulgaris,5-22-400x-2-01,5.22,abaxial,2
Beta_vulgaris,5-22-400x-2-02,5.22,abaxial,2
Beta_vulgaris,5-22-400x-2-03,5.22,abaxial,2
Beta_vulgaris,5-22-400x-2-04,5.22,abaxial,2
Beta_vulgaris,5-22-400x-2-05,5.22,abaxial,2
Galium_rubioides,6-19-400x-1-01,6.19,,3
Galium_rubioides,6-19-400x-1-02,6.19,,3
Galium_odoratum,6-21-400x-2-01,6.21,adaxial,3
Galium_odoratum,6-21-400x-2-02,6.21,adaxial,3
Galium_odoratum,6-21-400x-2-03,6.21,adaxial,3
Galium_odoratum,6-21-400x-2-04,6.21,adaxial,3
Danae_racemosa,7-01-700x-t2-01,7.1,adaxial,5
Danae_racemosa,7-01-700x-t2-02,7.1,adaxial,5
Danae_racemosa,7-01-700x-t2-03,7.1,adaxial,5
Danae_racemosa,7-01-700x-t2-04,7.1,adaxial,5
Danae_racemosa,7-01-700x-t2-05,7.1,adaxial,5
Danae_racemosa,7-01-700x-t-01,7.1,abaxial,5
Danae_racemosa,7-01-700x-t-02,7.1,abaxial,5
Danae_racemosa,7-01-700x-t-03,7.1,abaxial,5
Danae_racemosa,7-01-700x-t-04,7.1,abaxial,5
Danae_racemosa,7-01-700x-t-05,7.1,abaxial,5
Rohdea_japonica,7-15-400x-1-01,7.15,abaxial,5
Rohdea_japonica,7-15-400x-1-02,7.15,abaxial,5
Rohdea_japonica,7-15-400x-1-03,7.15,abaxial,5
Rohdea_japonica,7-15-400x-1-04,7.15,abaxial,5
Rohdea_japonica,7-15-400x-1-05,7.15,abaxial,5
Rohdea_japonica,7-15-400x-2-01,7.15,adaxial,5
Rohdea_japonica,7-15-400x-2-02,7.15,adaxial,5
Rohdea_japonica,7-15-400x-2-03,7.15,adaxial,5
Rohdea_japonica,7-15-400x-2-04,7.15,adaxial,5
Rohdea_japonica,7-15-400x-2-05,7.15,adaxial,5
Alstroemeria_aurea,7-23-400x-2-01,7.23,adaxial,5
Alstroemeria_aurea,7-23-400x-2-02,7.23,adaxial,5
Alstroemeria_aurea,7-23-400x-2-03,7.23,adaxial,5
Alstroemeria_aurea,7-23-400x-2-04,7.23,adaxial,5
Alstroemeria_aurea,7-23-400x-2-05,7.23,adaxial,5
Hemerocallis_fulva,7-24-400x-1-01,7.24,abaxial,5
Hemerocallis_fulva,7-24-400x-1-02,7.24,abaxial,5
Hemerocallis_fulva,7-24-400x-1-03,7.24,abaxial,5
Hemerocallis_fulva,7-24-400x-1-04,7.24,abaxial,5
Hemerocallis_fulva,7-24-400x-1-05,7.24,abaxial,5
Jasminum fruticans,8-06-700x-2-01,8.6,,3
Jasminum fruticans,8-06-700x-2-02,8.6,,3
Jasminum fruticans,8-06-700x-2-03,8.6,,3
Jasminum fruticans,8-06-700x-2-04,8.6,,3